rank,team,elo_plus,off_epa,def_epa_allowed,pass_epa,recent_win_pct,rank_change,movement,as_of
1,SEA,1634.262866364769,0.03811688115729467,-0.1682704348253564,0.06611358856440072,0.8960519878255437,0,→,2026-09-09T17:59:25.232744+00:00
2,DEN,1615.485860090258,0.022462309967681886,-0.04883379379420144,0.08202323855343635,0.8373162389744168,0,→,2026-09-09T17:59:25.232744+00:00
3,BUF,1609.4716454468794,0.10932500467196618,-0.01780544563408907,0.17435160416529716,0.7108176926178811,0,→,2026-09-09T17:59:25.232744+00:00
4,LA,1604.7782831159154,0.10841129281194736,-0.016052834366665426,0.2208338799044684,0.6400693448358244,0,→,2026-09-09T17:59:25.232744+00:00
5,HOU,1598.2722788376063,0.011911407116541615,-0.08825664310409488,0.035722811296445195,0.8715161325251809,0,→,2026-09-09T17:59:25.232744+00:00
6,PHI,1576.226311965056,0.009728214071404518,-0.06281173721569164,0.08002279857730632,0.5910962462499085,0,→,2026-09-09T17:59:25.232744+00:00
7,JAX,1568.0562762260236,0.10160085252197587,-0.09701691912569967,0.1688588713399306,0.846133691327393,0,→,2026-09-09T17:59:25.232744+00:00
8,DET,1565.2647620435189,0.042582310846569466,0.03163020130906409,0.1495122323187733,0.47844378351561745,0,→,2026-09-09T17:59:25.232744+00:00
9,NE,1561.8208811227348,0.14144469077913002,-0.05191496910164738,0.34461876261600916,0.8346413778022398,0,→,2026-09-09T17:59:25.232744+00:00
10,MIN,1558.3570208580538,-0.06061549909313182,-0.12312069260680739,-0.19774978086105977,0.6864125275839948,0,→,2026-09-09T17:59:25.232744+00:00
11,SF,1553.9652230148965,0.08123318913362021,0.03276865696864852,0.16210678687955057,0.6765386313992877,0,→,2026-09-09T17:59:25.232744+00:00
12,BAL,1548.9992784201002,0.07252719335885918,0.014138270689533843,0.07559762415000489,0.4923384719065488,0,→,2026-09-09T17:59:25.232744+00:00
13,GB,1544.5228184249463,0.0619030539768443,0.07691865742663218,0.09944911871047443,0.3845733252865435,0,→,2026-09-09T17:59:25.232744+00:00
14,LAC,1543.256695074842,-0.04753017849399445,-0.06309054950347087,-0.07719128326494461,0.5757191871770746,0,→,2026-09-09T17:59:25.232744+00:00
15,PIT,1533.060331967252,0.015599473073160439,0.01570330686669786,0.019289570424413365,0.60309166493134,0,→,2026-09-09T17:59:25.232744+00:00
16,CHI,1521.8206960304867,0.07454113660956337,0.03831584298960833,0.08047799038782452,0.543489870455317,0,→,2026-09-09T17:59:25.232744+00:00
17,KC,1501.568856956259,-0.05206610935697244,-0.02259964800991078,-0.1503913067661699,0.22869700658139316,0,→,2026-09-09T17:59:25.232744+00:00
18,TB,1485.227166216625,0.011223965349510982,0.03277067061158595,0.01811689338527347,0.3801191824443912,0,→,2026-09-09T17:59:25.232744+00:00
19,CIN,1478.2224757965096,0.06145572866743842,0.049388518421043796,0.040229306896196755,0.40074787773561343,0,→,2026-09-09T17:59:25.232744+00:00
20,ATL,1465.6651799542783,-0.01662246001158991,0.01268599744549154,0.019377094047654492,0.6108044969286951,0,→,2026-09-09T17:59:25.232744+00:00
21,IND,1463.3158653237156,0.017963438969577885,0.06691626288493353,-0.041380097999076285,0.23079351635727638,0,→,2026-09-09T17:59:25.232744+00:00
22,DAL,1456.8160303702862,0.061432167855838944,0.15179735562963995,0.11442812692455989,0.38911907751189095,0,→,2026-09-09T17:59:25.232744+00:00
23,MIA,1453.8808880498345,-0.015418783778430502,0.06282488734987297,-0.0028748976037189025,0.46303074918841775,0,→,2026-09-09T17:59:25.232744+00:00
24,WAS,1450.4322609440023,0.016205618108066387,0.09971794772526109,-0.003918679912520744,0.33651724499899704,0,→,2026-09-09T17:59:25.232744+00:00
25,NO,1430.5438738992377,-0.06234336703840447,-0.061686568506534506,0.0036698565878151637,0.49118467679552236,0,→,2026-09-09T17:59:25.232744+00:00
26,CAR,1423.4034206221622,-0.037950491822973616,0.053431497213136656,-0.03859328022361905,0.3990122805088804,0,→,2026-09-09T17:59:25.232744+00:00
27,CLE,1415.9176419973892,-0.16211123456872759,-0.07834588935959683,-0.3012606992384588,0.38811971006714335,0,→,2026-09-09T17:59:25.232744+00:00
28,NYG,1413.148127619214,0.030519230195017538,0.02743593086751875,-0.04174684150985594,0.332771467307096,0,→,2026-09-09T17:59:25.232744+00:00
29,ARI,1388.4240423075441,-0.016045203704500376,0.1438089821745362,-0.00033270456948970677,0.08721620347615644,0,→,2026-09-09T17:59:25.232744+00:00
30,NYJ,1356.331189235157,-0.1025096568525826,0.1595092314710416,-0.25764797985732724,0.16357559501212973,0,→,2026-09-09T17:59:25.232744+00:00
31,LV,1345.0406172867424,-0.1740148519064047,0.011128570331847783,-0.24002148504643478,0.20516497494946687,0,→,2026-09-09T17:59:25.232744+00:00
32,TEN,1343.6021152619278,-0.09243330553169457,0.07524968084432584,-0.1951180471096426,0.21635835483281987,0,→,2026-09-09T17:59:25.232744+00:00
